year,month,day,hour,doy,index,tto,tts,psi,LST_Day_1km,Emis_31,Emis_32
2019,1,1,11,1,11.0,43.0,70.16297172224102,77.54221934942561,-12.349999999999966,0.986,0.984
2019,1,2,10,2,34.0,37.0,73.55433955441232,63.44136799037648,-11.349999999999966,0.994,0.99
2019,1,4,12,4,84.0,64.0,68.96736224137796,92.21194477617985,0.03000000000002956,0.98,0.98
2019,1,13,12,13,300.0,61.0,67.79910198741601,92.12029064896171,-7.529999999999973,0.98,0.98
2019,1,19,11,19,443.0,29.0,67.73962368419835,76.82996740796904,-15.409999999999968,0.984,0.984
2019,1,21,11,21,491.0,11.0,67.34817353694214,76.71086152578863,-16.289999999999964,0.986,0.986
2019,2,9,11,40,947.0,48.0,62.57130217401742,75.16021518970328,-20.149999999999977,0.992,0.99
2019,2,13,11,44,1043.0,20.0,61.35242222413149,74.73401064402296,-9.169999999999959,0.994,0.99
2019,2,22,11,53,1259.0,11.0,58.39638092107828,73.64402656266867,-4.92999999999995,0.994,0.99
2019,2,28,10,59,1402.0,44.0,60.764785660115805,56.21092048736833,-9.989999999999952,0.984,0.984
2019,3,1,11,60,1427.0,21.0,55.93151167538122,72.66953694297666,-6.849999999999966,0.992,0.988
2019,3,3,11,62,1475.0,1.0,55.20649105070555,72.37070024124958,-17.98999999999998,0.992,0.99
2019,3,12,11,71,1691.0,10.0,51.863217883141346,70.9146223997993,1.8900000000000432,0.994,0.99
2019,3,17,11,76,1811.0,21.0,49.97034704354931,70.02835081268523,-1.009999999999991,0.994,0.99
2019,3,21,10,80,1906.0,19.0,53.620281211875515,51.12285768665177,3.250000000000057,0.992,0.99
2019,3,22,11,81,1931.0,43.0,48.07057442490838,69.08869652790622,0.03000000000002956,0.992,0.99
2019,3,23,10,82,1954.0,37.0,52.93426891348284,50.58117553450404,4.4500000000000455,0.984,0.984
2019,3,24,11,83,1979.0,29.0,47.31200117601854,68.69835918438915,0.05000000000001137,0.994,0.99
2019,3,25,12,84,2004.0,64.0,44.92098171332934,89.24314793714939,1.6100000000000136,0.992,0.99
2019,3,29,11,88,2099.0,49.0,45.427029002461204,67.68784914732001,2.0500000000000114,0.99,0.988
2019,4,4,11,94,2243.0,1.0,43.20304382526225,66.41385993881167,-1.25,0.992,0.99
2019,4,14,11,104,2483.0,49.0,39.65075942648459,64.1629639111471,-2.2299999999999613,0.99,0.988
2019,4,20,11,110,2627.0,1.0,37.64924911085973,62.75443460294579,10.310000000000002,0.986,0.986
2019,4,26,10,116,2770.0,49.0,42.33883504857118,40.50848366922162,7.490000000000009,0.984,0.982
2019,5,3,10,123,2938.0,43.0,40.59200704762892,38.427122877542814,7.010000000000048,0.986,0.984
2019,5,6,11,126,3011.0,1.0,32.966104018135056,58.93857085882033,9.230000000000018,0.986,0.984
2019,5,11,11,131,3131.0,29.0,31.73605883105545,57.78329754999757,15.750000000000057,0.986,0.986
2019,5,13,11,133,3179.0,11.0,31.278830563024748,57.33401091367713,16.29000000000002,0.984,0.984
