year,doy,gpp
2019,1,0.32225539583333335
2019,2,0.0007961354166666678
2019,3,0.000990335416666673
2019,4,0.09529102541666667
2019,5,0.06334679166666667
2019,6,0.11811968375
2019,7,-0.15066763541666667
2019,8,0.05483881666666667
2019,9,-0.020515875
2019,10,-0.07682441666666666
2019,11,-0.24717991666666664
2019,12,-0.2797427
2019,13,-0.26065179791666665
2019,14,-0.01651544791666667
2019,15,-0.015344708333333337
2019,16,0.13564116875
2019,17,-0.25051229166666666
2019,18,0.12933908514583334
2019,19,0.21606547916666666
2019,20,-0.07988845833333334
2019,21,-0.22667298125000002
2019,22,-0.17833114166666666
2019,23,0.26524052729166664
2019,24,-0.2961815208333333
2019,25,0.10445612083333333
2019,26,0.31208708333333335
2019,27,-0.005322349999999992
2019,28,0.08440634520833334
2019,29,0.08284972916666666
2019,30,-0.20130739583333335
2019,31,-0.014064999999999994
2019,32,-0.54167906875
2019,33,-0.1716992291666667
2019,34,0.866891625
2019,35,0.2693494791666667
2019,36,0.07634885416666667
2019,37,0.27520062500000003
2019,38,0.19073333333333334
2019,39,0.14083025833333335
2019,40,-0.6432386875
2019,41,-0.17609389583333335
2019,42,-0.20413985
2019,43,-0.8862621875
2019,44,-0.5854690416666667
2019,45,-0.5700069583333334
2019,46,-0.3391370333333334
2019,47,-0.08036124166666665
2019,48,-0.027835395833333342
2019,49,-0.7011546875
2019,50,-0.08185202083333333
2019,51,-0.3519386041666666
2019,52,-0.15036271041666666
2019,53,-0.019013378270833332
2019,54,-0.09176328979166666
2019,55,-0.10214285416666667
2019,56,-0.13822879166666666
2019,57,-0.08829121666666667
2019,58,-0.13513120833333334
2019,59,-0.08524639166666666
2019,60,-0.12145466666666667
2019,61,-0.24502017291666667
2019,62,-0.21630422416666664
2019,63,-0.20964375000000002
2019,64,-0.22636533404166667
2019,65,-0.25682524791666667
2019,66,-0.2503531666666667
2019,67,-0.3768621458333333
2019,68,-0.3732824791666667
2019,69,0.10057239583333333
2019,70,0.1382570625
2019,71,-0.045211756250000006
2019,72,-0.06214041666666667
2019,73,0.12695943750000002
