year,month,day,doy,index,tto,tts,psi,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
2019,8,2,214,213,39.75,26.25,233.39,0.0172,0.3305,0.0086,0.033100000000000004,0.3064,0.13820000000000002,0.0398
2019,8,5,217,216,55.480000000000004,34.300000000000004,35.44000000000001,0.0236,0.4289,0.0137,0.0475,0.38130000000000003,0.19890000000000002,0.0616
2019,8,12,224,223,50.38,34.99,39.17999999999999,0.0252,0.4204,0.0134,0.048600000000000004,0.3901,0.1988,0.062400000000000004
2019,8,18,230,229,39.75,30.61,236.85000000000002,0.0199,0.3216,0.0112,0.0344,0.29660000000000003,0.1403,0.040400000000000005
2019,8,19,231,230,44.38,35.92,42.78,0.0238,0.4097,0.0119,0.047400000000000005,0.4016,0.19870000000000002,0.0625
2019,8,20,232,231,23.19,32.0,233.29000000000002,0.017400000000000002,0.3259,0.0099,0.033,0.3111,0.1489,0.0444
2019,8,26,238,237,37.25,37.11,45.69999999999999,0.025900000000000003,0.4022,0.013600000000000001,0.0475,0.40280000000000005,0.1976,0.0654
2019,8,29,241,240,13.16,35.22,234.84,0.02,0.3356,0.010700000000000001,0.0357,0.3256,0.1597,0.0502
2019,8,30,242,241,59.97,41.11,43.88000000000001,0.029500000000000002,0.4057,0.0155,0.050800000000000005,0.39830000000000004,0.1986,0.0631
2019,9,15,258,257,59.870000000000005,45.71,49.019999999999996,0.033,0.3896,0.0176,0.053700000000000005,0.3846,0.1915,0.06280000000000001
2019,9,16,259,258,8.8,42.1,58.379999999999995,0.0233,0.3332,0.0125,0.04,0.3357,0.1704,0.0577
2019,9,19,262,261,39.75,41.6,244.76999999999998,0.0216,0.2924,0.0111,0.033600000000000005,0.2928,0.1439,0.0453
2019,9,20,263,262,44.39,45.43,54.06999999999999,0.0324,0.37010000000000004,0.0161,0.048600000000000004,0.3826,0.1993,0.0682
2019,9,21,264,263,23.29,42.81,243.38,0.0241,0.29150000000000004,0.012400000000000001,0.0351,0.29810000000000003,0.15330000000000002,0.050800000000000005
2019,9,25,268,267,19.240000000000002,45.660000000000004,57.82000000000001,0.0337,0.3418,0.0179,0.045200000000000004,0.3527,0.1849,0.062
2019,9,27,270,269,37.15,47.26,57.08999999999999,0.0358,0.34400000000000003,0.0177,0.0482,0.3628,0.1887,0.0663
2019,9,28,271,270,32.17,45.160000000000004,244.93,0.0252,0.2501,0.013000000000000001,0.0334,0.25730000000000003,0.1274,0.0434
2019,9,29,272,271,50.38,48.97,55.400000000000006,0.0386,0.3612,0.018600000000000002,0.0517,0.381,0.20520000000000002,0.0723
2019,9,30,273,272,13.35,46.39,245.67000000000002,0.033100000000000004,0.2929,0.016800000000000002,0.041800000000000004,0.3111,0.1681,0.061700000000000005
2019,10,5,278,277,39.84,47.61,247.24,0.0279,0.2636,0.013900000000000001,0.035,0.2822,0.1468,0.0511
2019,10,15,288,287,50.28,54.34,59.469999999999985,0.0669,0.3156,0.0318,0.0656,0.3542,0.20600000000000002,0.07690000000000001
2019,10,19,292,291,51.83,52.6,250.24,0.038900000000000004,0.23420000000000002,0.0189,0.0379,0.2665,0.1542,0.061000000000000006
2019,10,21,294,293,39.94,53.46,248.96,0.0434,0.22340000000000002,0.021500000000000002,0.039400000000000004,0.26,0.15460000000000002,0.064
2019,10,24,297,296,55.480000000000004,57.77,60.360000000000014,0.07050000000000001,0.2861,0.0352,0.060700000000000004,0.3406,0.22080000000000002,0.0978
2019,11,1,305,304,13.25,57.61,248.43,0.0395,0.17420000000000002,0.0187,0.032100000000000004,0.22820000000000001,0.1572,0.0785
2019,11,4,308,307,51.730000000000004,57.97,251.27,0.033,0.17020000000000002,0.0164,0.0257,0.21680000000000002,0.1564,0.07590000000000001
2019,11,6,310,309,39.75,58.7,249.41,0.034,0.1748,0.0152,0.027800000000000002,0.2257,0.164,0.08170000000000001
2019,11,13,317,316,46.28,60.6,250.74,0.0341,0.1771,0.0142,0.0257,0.22260000000000002,0.1462,0.08220000000000001
2019,11,15,319,318,32.08,61.32,249.79,0.037200000000000004,0.1746,0.0173,0.0304,0.2293,0.17220000000000002,0.0892
2019,11,21,325,324,28.900000000000002,64.12,64.80000000000001,0.0436,0.19490000000000002,0.0201,0.037000000000000005,0.2461,0.1525,0.0736
2019,11,23,327,326,44.39,65.26,63.95,0.0523,0.2185,0.0229,0.0449,0.28450000000000003,0.2079,0.11510000000000001
2019,11,26,330,329,2.22,64.37,242.17000000000002,0.0396,0.1738,0.017400000000000002,0.0332,0.2252,0.15560000000000002,0.08370000000000001
2019,11,30,334,333,37.25,66.29,64.16999999999999,0.0529,0.20720000000000002,0.024300000000000002,0.0461,0.2758,0.2033,0.114
2020,3,8,68,432,14.52,49.14,237.12,0.057600000000000005,0.18960000000000002,0.0258,0.043300000000000005,0.2541,0.21000000000000002,0.1212
2020,3,15,75,439,24.29,45.97,238.03000000000003,0.0514,0.1817,0.022600000000000002,0.0414,0.2434,0.1932,0.1115
2020,3,21,81,445,36.4,46.49,50.51000000000002,0.0738,0.24500000000000002,0.033100000000000004,0.0577,0.31570000000000004,0.24760000000000001,0.14450000000000002
2020,3,22,82,446,32.92,42.82,238.41,0.054200000000000005,0.1794,0.0244,0.0419,0.2429,0.20070000000000002,0.11610000000000001
