year,month,day,hour,doy,wind_u
2019,1,1,0,1,1.5220061323046807
2019,1,1,1,1,1.5012947799971745
2019,1,1,2,1,1.6329971767797624
2019,1,1,3,1,1.8967108848999907
2019,1,1,4,1,2.2314233245795076
2019,1,1,5,1,2.596715959022764
2019,1,1,6,1,2.757669044889117
2019,1,1,7,1,2.7876587827185144
2019,1,1,8,1,2.9415029235078283
2019,1,1,9,1,3.096542055284789
2019,1,1,10,1,3.136278633872728
2019,1,1,11,1,3.03340930497796
2019,1,1,12,1,2.9595059945390103
2019,1,1,13,1,2.8559797334259023
2019,1,1,14,1,2.7123618375020855
2019,1,1,15,1,2.6553002357797517
2019,1,1,16,1,2.6476368086279463
2019,1,1,17,1,2.588683007498143
2019,1,1,18,1,2.550220799207567
2019,1,1,19,1,2.466676666312277
2019,1,1,20,1,2.373031125224528
2019,1,1,21,1,2.2992202936365524
2019,1,1,22,1,2.22467970029115
2019,1,1,23,1,2.171267102871492
2019,1,2,0,2,2.114530399099702
2019,1,2,1,2,2.0641656445725003
2019,1,2,2,2,2.0510787629452207
2019,1,2,3,2,2.0536733030554677
2019,1,2,4,2,2.0433954420871014
2019,1,2,5,2,2.042132509448896
2019,1,2,6,2,2.038517036061531
2019,1,2,7,2,1.9863469399060256
2019,1,2,8,2,1.916773174489689
2019,1,2,9,2,1.8897982863051743
2019,1,2,10,2,1.8797654551887826
2019,1,2,11,2,1.8675542387915298
2019,1,2,12,2,1.850260595901493
2019,1,2,13,2,1.8363593431663436
2019,1,2,14,2,1.8429376590646402
2019,1,2,15,2,1.738594534020513
2019,1,2,16,2,1.661546404980685
2019,1,2,17,2,1.6599153165784517
2019,1,2,18,2,1.7027747182688864
2019,1,2,19,2,1.6808106490102017
2019,1,2,20,2,1.71292705825982
2019,1,2,21,2,1.748560938731791
2019,1,2,22,2,1.7766807659254131
2019,1,2,23,2,1.7502267800214677
2019,1,3,0,3,1.6947647398203527
2019,1,3,1,3,1.7014820183895378
2019,1,3,2,3,1.7666085873063604
2019,1,3,3,3,1.7911590827803336
2019,1,3,4,3,1.8238392122140383
2019,1,3,5,3,1.889983830553747
2019,1,3,6,3,2.0292522388697507
2019,1,3,7,3,2.197135079819658
2019,1,3,8,3,2.2785199390782376
2019,1,3,9,3,2.3276546075781512
2019,1,3,10,3,2.546144397931887
2019,1,3,11,3,2.7150909900624294
2019,1,3,12,3,2.556770960867935
2019,1,3,13,3,2.5117403590927774
2019,1,3,14,3,2.429180402552865
2019,1,3,15,3,2.3541091800287197
2019,1,3,16,3,2.335809365284923
